28,27,0x0041c099,"C7 05 34 47 42 00 01 00 00 00  _|_ 68 18 06 42 00  _|_ 68 0C 03 42 00  _|_ E8 04 53 FF FF  _|_ ","mov dword ptr [0x424734], 0x1 _|_ push 0x420618 _|_ push 0x42030c _|_ call 0x4113b6 _|_ "
29,29,0x004113b6,"E9 95 C4 00 00  _|_ ","jmp 0x41d850 _|_ "
30,30,0x0041d850,"FF 25 A4 54 42 00  _|_ ","jmp dword ptr [0x4254a4] _|_ "
31,31,0x0041bea0,"55  _|_ 8B EC  _|_ E8 38 04 00 00  _|_ ","push ebp _|_ mov ebp, esp _|_ call 0x41c2e0 _|_ "
32,32,0x0041c2e0,"55  _|_ 8B EC  _|_ 83 EC 14  _|_ C7 45 FC 00 00 40 00  _|_ 8B 45 FC  _|_ 0F B7 08  _|_ 81 F9 4D 5A 00 00  _|_ 74 07  _|_ ","push ebp _|_ mov ebp, esp _|_ sub esp, 0x14 _|_ mov dword ptr [ebp-0x4], 0x400000 _|_ mov eax, dword ptr [ebp-0x4] _|_ movzx ecx, word ptr [eax] _|_ cmp ecx, 0x5a4d _|_ jz 0x41c302 _|_ "
33,32,0x0041c2fb,"33 C0  _|_ E9 87 00 00 00  _|_ ","xor eax, eax _|_ jmp 0x41c389 _|_ "
34,34,0x0041c302,"8B 55 FC  _|_ 8B 45 FC  _|_ 03 42 3C  _|_ 89 45 F8  _|_ 8B 4D F8  _|_ 81 39 50 45 00 00  _|_ 74 04  _|_ ","mov edx, dword ptr [ebp-0x4] _|_ mov eax, dword ptr [ebp-0x4] _|_ add eax, dword ptr [edx+0x3c] _|_ mov dword ptr [ebp-0x8], eax _|_ mov ecx, dword ptr [ebp-0x8] _|_ cmp dword ptr [ecx], 0x4550 _|_ jz 0x41c31d _|_ "
35,34,0x0041c319,"33 C0  _|_ EB 6C  _|_ ","xor eax, eax _|_ jmp 0x41c389 _|_ "
36,36,0x0041c31d,"8B 55 F8  _|_ 83 C2 18  _|_ 89 55 F4  _|_ 8B 45 F4  _|_ 0F B7 08  _|_ 89 4D EC  _|_ 81 7D EC 0B 01 00 00  _|_ 74 0B  _|_ ","mov edx, dword ptr [ebp-0x8] _|_ add edx, 0x18 _|_ mov dword ptr [ebp-0xc], edx _|_ mov eax, dword ptr [ebp-0xc] _|_ movzx ecx, word ptr [eax] _|_ mov dword ptr [ebp-0x14], ecx _|_ cmp dword ptr [ebp-0x14], 0x10b _|_ jz 0x41c343 _|_ "
37,36,0x0041c338,"81 7D EC 0B 02 00 00  _|_ 74 22  _|_ ","cmp dword ptr [ebp-0x14], 0x20b _|_ jz 0x41c363 _|_ "
38,36,0x0041c341,"EB 44  _|_ ","jmp 0x41c387 _|_ "
39,39,0x0041c343,"8B 55 F4  _|_ 83 7A 5C 0E  _|_ 77 04  _|_ ","mov edx, dword ptr [ebp-0xc] _|_ cmp dword ptr [edx+0x5c], 0xe _|_ jnbe 0x41c350 _|_ "
40,39,0x0041c34c,"33 C0  _|_ EB 39  _|_ ","xor eax, eax _|_ jmp 0x41c389 _|_ "
41,41,0x0041c350,"8B 45 F4  _|_ 33 C9  _|_ 83 B8 D0 00 00 00 00  _|_ 0F 95 C1  _|_ 8B C1  _|_ EB 26  _|_ ","mov eax, dword ptr [ebp-0xc] _|_ xor ecx, ecx _|_ cmp dword ptr [eax+0xd0], 0x0 _|_ setnz cl _|_ mov eax, ecx _|_ jmp 0x41c389 _|_ "
42,42,0x0041c389,"8B E5  _|_ 5D  _|_ C3  _|_ ","mov esp, ebp _|_ pop ebp _|_ ret  _|_ "
43,43,0x0041bea8,"A3 24 43 42 00  _|_ 6A 01  _|_ FF 15 78 54 42 00  _|_ ","mov dword ptr [0x424324], eax _|_ push 0x1 _|_ call dword ptr [0x425478] _|_ "
44,44,0x0041beb5,"83 C4 04  _|_ 6A FF  _|_ FF 15 74 54 42 00  _|_ ","add esp, 0x4 _|_ push 0xffffffff _|_ call dword ptr [0x425474] _|_ "
45,45,0x0041bec0,"83 C4 04  _|_ A3 48 47 42 00  _|_ A1 48 47 42 00  _|_ A3 58 47 42 00  _|_ FF 15 70 54 42 00  _|_ ","add esp, 0x4 _|_ mov dword ptr [0x424748], eax _|_ mov eax, dword ptr [0x424748] _|_ mov dword ptr [0x424758], eax _|_ call dword ptr [0x425470] _|_ "
46,46,0x0041bed8,"8B 0D 1C 47 42 00  _|_ 89 08  _|_ FF 15 6C 54 42 00  _|_ ","mov ecx, dword ptr [0x42471c] _|_ mov dword ptr [eax], ecx _|_ call dword ptr [0x42546c] _|_ "
47,47,0x0041bee6,"8B 15 18 47 42 00  _|_ 89 10  _|_ A1 68 54 42 00  _|_ 8B 08  _|_ 89 0D 5C 47 42 00  _|_ E8 CB 53 FF FF  _|_ ","mov edx, dword ptr [0x424718] _|_ mov dword ptr [eax], edx _|_ mov eax, dword ptr [0x425468] _|_ mov ecx, dword ptr [eax] _|_ mov dword ptr [0x42475c], ecx _|_ call 0x4112cb _|_ "
48,48,0x004112cb,"E9 E0 BF 00 00  _|_ ","jmp 0x41d2b0 _|_ "
49,49,0x0041d2b0,"56  _|_ BE 90 2B 42 00  _|_ 8B C6  _|_ 3D A0 2D 42 00  _|_ 73 14  _|_ ","push esi _|_ mov esi, 0x422b90 _|_ mov eax, esi _|_ cmp eax, 0x422da0 _|_ jnb 0x41d2d3 _|_ "
50,49,0x0041d2bf,"90  _|_ 8B 06  _|_ 85 C0  _|_ 74 02  _|_ ","nop  _|_ mov eax, dword ptr [esi] _|_ test eax, eax _|_ jz 0x41d2c8 _|_ "
51,49,0x0041d2c6,"FF D0  _|_ ","call eax _|_ "
52,52,0x0041d2c8,"83 C6 04  _|_ 81 FE A0 2D 42 00  _|_ 72 ED  _|_ ","add esi, 0x4 _|_ cmp esi, 0x422da0 _|_ jb 0x41d2c0 _|_ "
53,52,0x0041d2d3,"5E  _|_ C3  _|_ ","pop esi _|_ ret  _|_ "
54,54,0x0041d2c0,"8B 06  _|_ 85 C0  _|_ 74 02  _|_ ","mov eax, dword ptr [esi] _|_ test eax, eax _|_ jz 0x41d2c8 _|_ "
55,54,0x0041d2c6,"FF D0  _|_ ","call eax _|_ "
56,56,0x004111d1,"E9 0A AB 00 00  _|_ ","jmp 0x41bce0 _|_ "
57,57,0x0041bce0,"80 3D 14 43 42 00 00  _|_ 75 1F  _|_ ","cmp byte ptr [0x424314], 0x0 _|_ jnz 0x41bd08 _|_ "
58,57,0x0041bce9,"6A 00  _|_ 6A 01  _|_ 6A 00  _|_ 6A 00  _|_ 6A 00  _|_ C6 05 14 43 42 00 01  _|_ E8 0D 56 FF FF  _|_ ","push 0x0 _|_ push 0x1 _|_ push 0x0 _|_ push 0x0 _|_ push 0x0 _|_ mov byte ptr [0x424314], 0x1 _|_ call 0x41130c _|_ "
59,59,0x0041130c,"E9 25 BB 00 00  _|_ ","jmp 0x41ce36 _|_ "
60,60,0x0041ce36,"FF 25 5C 54 42 00  _|_ ","jmp dword ptr [0x42545c] _|_ "
61,61,0x0041bcff,"50  _|_ E8 35 55 FF FF  _|_ ","push eax _|_ call 0x41123a _|_ "
